,всего,"Сельское,
лесное
хозяйство,
охота,
рыболовство
и рыбоводство
","Добыча
полезных
ископаемых","Обрабатыв
ающие
производства","Обеспечение электрической
энергией,
газом
и паром;
кондиционирование
воздуха","Водоснабжение;
водоотведение,
организация сбора и
утилизации
отходов,
деятельность по
ликвидации
загрязнений",Строительство,"Торговля
оптовая
и розничная;
ремонт
автотранспортных
средств и
мотоциклов","Транспортировка и
хранение","Деятельность
гостиниц
и предприятий общественного
питания","Деятельность
в области
информации
и связи"
Белгородская область,100,"16,9","20,3","14,8","1,4","0,4","5,2","12,6","3,8","0,4","1,6"
Брянская область,100,"17,8","0,0","15,2","2,4","0,6","4,6","15,3","7,4","0,9","2,1"
Владимирская область,100,"3,4","0,4","34,3","2,6","1,2","4,4","11,9","4,8","0,7","1,8"
Воронежская область,100,"14,7","0,5","15,7","3,2","0,9","7,0","18,5","5,2","0,7","2,3"
Ивановская область,100,"3,1","0,2","20,8","4,1","0,9","4,7","15,4","5,5","0,9","2,3"
Калужская область,100,"5,6","0,4","39,3","1,7","0,6","4,8","9,4","3,2","0,8","1,3"
Костромская область,100,"7,6","0,3","22,3","7,2","1,1","4,6","11,4","6,3","1,0","2,6"
Курская область,100,"19,1","12,1","15,7","5,0","0,5","5,6","9,6","4,0","0,6","1,1"
Липецкая область,100,"12,5","0,5","36,3","1,6","0,4","7,1","10,5","4,1","0,6","2,0"
Московская область,100,"1,3","0,2","20,2","2,0","0,7","5,3","20,3","5,3","1,0","1,5"
Орловская область,100,"24,3","0,2","14,7","2,8","0,6","4,9","12,7","6,6","0,5","1,8"
Рязанская область,100,"10,7","0,1","24,0","3,3","0,7","3,6","14,3","5,4","0,7","2,3"
Смоленская область,100,"4,2","0,3","19,5","11,2","1,0","3,1","15,8","10,5","0,7","1,8"
Тамбовская область,100,"32,4","0,0","12,7","1,3","0,8","4,4","12,8","5,3","0,8","2,2"
Тверская область,100,"5,2","0,1","20,2","6,7","0,8","4,1","15,4","7,8","1,1","2,4"
Тульская область,100,"8,0","0,5","39,9","3,5","0,6","4,4","8,6","4,1","0,6","2,6"
Ярославская область,100,"3,2","0,1","28,2","3,0","0,9","4,7","14,3","11,5","0,8","2,5"
г. Москва,100,"0,1","0,0","14,3","3,1","0,5","4,8","23,7","6,2","0,6","7,8"
федеральный округ,100,"3,0","5,2","19,2","2,9","0,8","4,9","11,9","9,8","0,7","3,7"
Республика Карелия,100,"6,9","16,8","15,9","2,8","0,8","4,3","6,5","7,5","1,0","2,0"
Республика Коми,100,"2,1","32,8","11,2","2,6","0,7","6,5","5,0","6,8","0,9","1,3"
Архангельская область,100,"4,0","25,0","17,8","2,6","0,4","4,7","6,7","8,5","0,8","1,1"
Ненецкий автономный округ,100,"0,4","77,2","0,3","1,4","0,0","5,7","0,9","3,7","0,2","0,3"
Архангельская область,100,"5,5","3,6","25,0","3,1","0,6","4,4","9,1","10,5","1,0","1,4"
Вологодская область,100,"4,8","0,0","33,9","2,5","1,0","8,2","10,7","10,7","0,5","1,9"
Калининградская область,100,"6,9","2,0","18,9","4,5","0,8","5,4","12,2","8,5","0,8","2,8"
Ленинградская область,100,"5,2","0,6","27,1","6,9","0,9","8,2","9,9","13,4","0,8","0,8"
Мурманская область,100,"9,6","8,7","32,9","2,2","0,6","6,4","5,1","7,2","1,0","0,9"
Новгородская область,100,"6,4","0,2","36,7","3,4","0,7","5,1","11,0","7,5","0,9","1,4"
Псковская область,100,"13,3","0,4","15,2","3,1","1,4","4,8","13,5","8,0","1,4","2,3"
г. Санкт-Петербург,100,"0,1","0,3","13,9","2,0","0,9","3,3","15,4","10,4","0,6","6,0"
федеральный округ,100,"10,9","3,9","13,1","2,8","0,8","6,4","14,0","9,5","1,7","2,2"
Республика Адыгея,100,"14,6","1,0","12,5","1,9","0,6","6,4","12,9","3,9","0,9","1,7"
Республика Калмыкия,100,"21,1","0,8","0,8","1,1","0,4","6,1","5,0","23,9","0,2","1,9"
Республика Крым,100,"5,9","0,9","8,7","5,1","0,9","14,4","13,1","3,9","2,8","2,3"
Краснодарский край,100,"10,7","0,5","9,7","1,9","0,8","5,8","15,8","14,3","2,6","2,5"
Астраханская область,100,"6,7","37,7","4,9","2,7","0,5","6,2","6,6","8,1","0,9","1,2"
Волгоградская область,100,"13,7","2,7","24,7","2,3","0,8","5,1","10,8","5,1","0,6","2,0"
Ростовская область,100,"12,3","1,1","16,8","4,0","0,7","6,0","16,7","7,1","1,1","2,0"
г. Севастополь,100,"2,7","0,3","5,8","4,5","1,2","4,8","10,4","2,4","1,7","2,6"
Северо-Кавказский федеральный округ,100,"14,0","0,5","7,6","2,7","0,6","11,4","15,3","4,7","2,2","2,1"
Республика Дагестан,100,"18,4","0,3","4,3","1,3","0,1","17,4","18,0","5,2","3,3","1,9"
Республика Ингушетия,100,"10,7","0,9","2,0","1,4","0,6","8,4","10,0","2,2","0,3","2,0"
Кабардино-Балкарская Республика,100,"16,5","0,0","8,5","2,7","0,4","11,5","15,6","2,7","1,3","1,8"
Карачаево-Черкесская Республика,100,"17,0","1,5","9,3","7,4","0,8","6,8","7,5","2,6","0,7","1,6"
Республика Северная Осетия – Алания,100,"13,6","0,3","5,3","1,6","0,5","5,6","13,7","3,2","1,6","2,6"
Чеченская Республика,100,"12,2","0,9","2,4","2,5","0,5","8,7","12,4","2,8","2,4","1,6"
Ставропольский край,100,"10,1","0,6","12,4","3,9","1,1","9,2","15,8","5,9","1,7","2,5"